IDAMID,IDAMUsername
64703119-d1e5-4919-ae81-8c08e8364d53,sscsHearing_manager501@justice.gov.uk
9d40e749-9b4f-4836-a50c-bd30318b378f,sscsHearing_manager401@justice.gov.uk
0deda211-7c40-4452-b91c-303d684daf80,a
fa4ceee9-c231-41d3-8fa3-b888c1ad3913,sscsHearing_manager301@justice.gov.uk
8cdf986d-bc94-4052-a782-52eec37c9d8c,sscsHearing_manager302@justice.gov.uk
6f0a51f7-05be-43ba-af8f-69d1a54bd5f1,sscsHearing_manager303@justice.gov.uk
a0940841-c7c9-45b0-961c-69ce4c7de559,sscsHearing_manager304@justice.gov.uk
40f50f54-9d57-4830-8ef6-1c2417292d71,sscsHearing_manager305@justice.gov.uk
adba98b8-cf02-4d8b-b21d-9ca5b3d66a22,sscsHearing_manager306@justice.gov.uk
75a88fa8-0f5d-4cb9-ae89-ba4872cca5cc,sscsHearing_manager307@justice.gov.uk
1bb11249-9f5e-415b-a6c5-8d7fb952231e,sscsHearing_manager308@justice.gov.uk
414bf61a-63dd-4fa9-b41c-ee41348fe34e,sscsHearing_manager309@justice.gov.uk
7d7fb188-c50d-42e6-801c-3f30d201737d,sscsHearing_manager310@justice.gov.uk
ee9614e7-7aaa-43ef-b7b1-b013432afffd,sscsHearing_manager311@justice.gov.uk
f4c3eda4-1057-41f0-b0a4-de648aae8f2f,sscsHearing_manager312@justice.gov.uk
f000c30b-03ab-47eb-8b7e-271278137088,sscsHearing_manager313@justice.gov.uk
b9f06a0c-236a-4fc9-8eea-6750b51371c2,sscsHearing_manager314@justice.gov.uk
1c32049c-ad1d-47c5-8279-badd15c784cc,sscsHearing_manager315@justice.gov.uk
e0259d52-9552-4fed-9125-b7dd6228264c,sscsHearing_manager316@justice.gov.uk
c2b8cb58-6ce8-42f0-8e8c-316836887e06,sscsHearing_manager317@justice.gov.uk
13bf2f0e-1341-424a-b456-8ad7d0457640,sscsHearing_manager318@justice.gov.uk
